   33 |  63.8700985223  54.7755397601  50.7250800663  47.3998839191  45.3110344769  43.7451795594  23.1101967436  22.1151228717  20.8665339907  19.0466615032  17.0735136723  13.4308890183
   34 |  65.2472174609  56.0609087478  51.9659951951  48.6023673673  46.4883889693  44.9031575185  23.9522532709  22.9378746212  21.6642807126  19.8062529392  17.7891469235  14.0566987893
   35 |  66.6188288437  57.3420734339  53.2033485421  49.8018495682  47.6631109813  46.0587884368  24.7966547837  23.7632526096  22.4650152209  20.5693766307   18.508926227  14.6878469546
   36 |   67.985167626  58.6192145017  54.4372936318  50.9984601657  48.8353143613  47.2121738949  25.6432998799  24.5911435229  23.2686090189  21.3358815608  19.2326758322  15.3241127916
   37 |  69.3464524962  59.8925000451  55.6679732643  52.1923197301  50.0051049814  48.3634083522  26.4920942583  25.4214419638  24.0749425567  22.1056271612  19.9602320364  15.9652902932
   38 |  70.7028874115  61.1620867637  56.8955205351   53.383540623  51.1725814985  49.5125798266  27.3429500422  26.2540496992  24.8839043833  22.8784823287  20.6914420623   16.611186837
   39 |   72.054662952  62.4281210162  58.1200597347  54.5722277589  52.3378360246  50.6597704932  28.1957851824  27.0888749963  25.6953903996  23.6543245576  21.4261630649  17.2616220055
   40 |   73.401957519  63.6907397516  59.3417071432  55.7584792789  53.5009547188  51.8050572133  29.0505229305  27.9258320363  26.5093031967  24.4330391708   22.164261253  17.9164265353
   41 |  74.7449383984  64.9500713352  60.5605717348  56.9423871468  54.6620183123  52.9485120031   29.907091372  28.7648403943    27.32555147  25.2145186381  22.9056111061  18.5754413795
   42 |  76.0837627077   66.206236284  61.7767558053  58.1240376809  55.8211025754  54.0902024507    30.76542301  29.6058245766  28.1440494967  25.9986619682  23.6500946778  19.2385168689
   43 |  77.4185782413  67.4593479223  62.9903555311  59.3035120269  56.9782787339  55.2301920884  31.6254543952  30.4487136074  28.9647166698  26.7853741655  24.3976009719  19.9055119589
   44 |   78.749524228  68.7095129693  64.2014614699  60.4808865823  58.1336138422  56.3685407251  32.4871257934  31.2934406594  29.7874770809  27.5745657445  25.1480253828  20.5762935521
   45 |  80.0767320108  69.9568320658    65.41015901  61.6562333763  59.2871711169   57.505304745  33.3503808886  32.1399427223  30.6122591456  28.3661522919  25.9012691932  21.2507358876
   46 |  81.4003256587  71.2014002483  66.6165287743  62.8296204114  60.4390102377  58.6405373758  34.2151665149  32.9881603043  31.4389952667  29.1600540741  26.6572391204  21.9287199895
